Type,ID,X,Y,Width,Height,ParentID,RelativeX,RelativeY,Align,Color,ShelfID,StoragePlaceID
Rectangle,G0620420,0,0,100,100,rack1,300,400,left,#888888,G0620420,G0620420
Rectangle,G0618410,0,0,100,100,rack1,400,400,left,#888888,G0618410,G0618410
Rectangle,G0618420,0,0,100,100,rack1,500,400,left,#888888,G0618420,G0618420
Rectangle,G0616410,0,0,100,100,rack1,600,400,left,#888888,G0616410,G0616410
Rectangle,G0616420,0,0,100,100,rack1,700,400,left,#888888,G0616420,G0616420
Rectangle,G0614410,0,0,100,100,rack1,800,400,left,#888888,G0614410,G0614410
Rectangle,G0614420,0,0,100,100,rack1,900,400,left,#888888,G0614420,G0614420
Rectangle,G0612410,0,0,100,100,rack1,1000,400,left,#888888,G0612410,G0612410
Rectangle,G0612420,0,0,100,100,rack1,1100,400,left,#888888,G0612420,G0612420
Rectangle,G0610410,0,0,100,100,rack1,1200,400,left,#888888,G0610410,G0610410
Rectangle,G0610420,0,0,100,100,rack1,1300,400,left,#888888,G0610420,G0610420
Rectangle,G0608410,0,0,100,100,rack1,1400,400,left,#888888,G0608410,G0608410
Rectangle,G0608420,0,0,100,100,rack1,1500,400,left,#888888,G0608420,G0608420
Rectangle,G0606410,0,0,100,100,rack1,1600,400,left,#888888,G0606410,G0606410
Rectangle,G0606420,0,0,100,100,rack1,1700,400,left,#888888,G0606420,G0606420
Rectangle,G0604410,0,0,100,100,rack1,1800,400,left,#888888,G0604410,G0604410
Rectangle,G0604420,0,0,100,100,rack1,1900,400,left,#888888,G0604420,G0604420
Rectangle,G0602410,0,0,100,100,rack1,2000,400,left,#888888,G0602410,G0602410
Rectangle,G0602420,0,0,100,100,rack1,2100,400,left,#888888,G0602420,G0602420
,,,,,,,,,,,,
Rectangle,G0622510,0,0,100,100,rack1,0,500,left,#888888,G0622510,G0622510
Rectangle,G0622520,0,0,100,100,rack1,100,500,left,#888888,G0622520,G0622520
Rectangle,G0620510,0,0,100,100,rack1,200,500,left,#888888,G0620510,G0620510
Rectangle,G0620520,0,0,100,100,rack1,300,500,left,#888888,G0620520,G0620520
Rectangle,G0618510,0,0,100,100,rack1,400,500,left,#888888,G0618510,G0618510
Rectangle,G0618520,0,0,100,100,rack1,500,500,left,#888888,G0618520,G0618520
Rectangle,G0616510,0,0,100,100,rack1,600,500,left,#888888,G0616510,G0616510
Rectangle,G0616520,0,0,100,100,rack1,700,500,left,#888888,G0616520,G0616520
Rectangle,G0614510,0,0,100,100,rack1,800,500,left,#888888,G0614510,G0614510
Rectangle,G0614520,0,0,100,100,rack1,900,500,left,#888888,G0614520,G0614520
Rectangle,G0612510,0,0,100,100,rack1,1000,500,left,#888888,G0612510,G0612510
Rectangle,G0612520,0,0,100,100,rack1,1100,500,left,#888888,G0612520,G0612520
Rectangle,G0610510,0,0,100,100,rack1,1200,500,left,#888888,G0610510,G0610510
Rectangle,G0610520,0,0,100,100,rack1,1300,500,left,#888888,G0610520,G0610520
Rectangle,G0608510,0,0,100,100,rack1,1400,500,left,#888888,G0608510,G0608510
Rectangle,G0608520,0,0,100,100,rack1,1500,500,left,#888888,G0608520,G0608520
Rectangle,G0606510,0,0,100,100,rack1,1600,500,left,#888888,G0606510,G0606510
Rectangle,G0606520,0,0,100,100,rack1,1700,500,left,#888888,G0606520,G0606520
Rectangle,G0604510,0,0,100,100,rack1,1800,500,left,#888888,G0604510,G0604510
Rectangle,G0604520,0,0,100,100,rack1,1900,500,left,#888888,G0604520,G0604520
Rectangle,G0602510,0,0,100,100,rack1,2000,500,left,#888888,G0602510,G0602510
Rectangle,G0602520,0,0,100,100,rack1,2100,500,left,#888888,G0602520,G0602520
,,,,,,,,,,,,
Rectangle,G0622610,0,0,100,100,rack1,0,600,left,#888888,G0622610,G0622610
Rectangle,G0622620,0,0,100,100,rack1,100,600,left,#888888,G0622620,G0622620
Rectangle,G0620610,0,0,100,100,rack1,200,600,left,#888888,G0620610,G0620610
Rectangle,G0620620,0,0,100,100,rack1,300,600,left,#888888,G0620620,G0620620
Rectangle,G0618610,0,0,100,100,rack1,400,600,left,#888888,G0618610,G0618610
Rectangle,G0618620,0,0,100,100,rack1,500,600,left,#888888,G0618620,G0618620
Rectangle,G0616610,0,0,100,100,rack1,600,600,left,#888888,G0616610,G0616610
Rectangle,G0616620,0,0,100,100,rack1,700,600,left,#888888,G0616620,G0616620
Rectangle,G0614610,0,0,100,100,rack1,800,600,left,#888888,G0614610,G0614610
Rectangle,G0614620,0,0,100,100,rack1,900,600,left,#888888,G0614620,G0614620
Rectangle,G0612610,0,0,100,100,rack1,1000,600,left,#888888,G0612610,G0612610
Rectangle,G0612620,0,0,100,100,rack1,1100,600,left,#888888,G0612620,G0612620
Rectangle,G0610610,0,0,100,100,rack1,1200,600,left,#888888,G0610610,G0610610
Rectangle,G0610620,0,0,100,100,rack1,1300,600,left,#888888,G0610620,G0610620
Rectangle,G0608610,0,0,100,100,rack1,1400,600,left,#888888,G0608610,G0608610
Rectangle,G0608620,0,0,100,100,rack1,1500,600,left,#888888,G0608620,G0608620
Rectangle,G0606610,0,0,100,100,rack1,1600,600,left,#888888,G0606610,G0606610
Rectangle,G0606620,0,0,100,100,rack1,1700,600,left,#888888,G0606620,G0606620
Rectangle,G0604610,0,0,100,100,rack1,1800,600,left,#888888,G0604610,G0604610
Rectangle,G0604620,0,0,100,100,rack1,1900,600,left,#888888,G0604620,G0604620
Rectangle,G0602610,0,0,100,100,rack1,2000,600,left,#888888,G0602610,G0602610
Rectangle,G0602620,0,0,100,100,rack1,2100,600,left,#888888,G0602620,G0602620
,,,,,,,,,,,,
Rectangle,G0622710,0,0,100,100,rack1,0,700,left,#888888,G0622710,G0622710
Rectangle,G0622720,0,0,100,100,rack1,100,700,left,#888888,G0622720,G0622720
Rectangle,G0620710,0,0,100,100,rack1,200,700,left,#888888,G0620710,G0620710
Rectangle,G0620720,0,0,100,100,rack1,300,700,left,#888888,G0620720,G0620720
Rectangle,G0618710,0,0,100,100,rack1,400,700,left,#888888,G0618710,G0618710
Rectangle,G0618720,0,0,100,100,rack1,500,700,left,#888888,G0618720,G0618720
Rectangle,G0616710,0,0,100,100,rack1,600,700,left,#888888,G0616710,G0616710
Rectangle,G0616720,0,0,100,100,rack1,700,700,left,#888888,G0616720,G0616720
Rectangle,G0614710,0,0,100,100,rack1,800,700,left,#888888,G0614710,G0614710
Rectangle,G0614720,0,0,100,100,rack1,900,700,left,#888888,G0614720,G0614720
Rectangle,G0612710,0,0,100,100,rack1,1000,700,left,#888888,G0612710,G0612710
Rectangle,G0612720,0,0,100,100,rack1,1100,700,left,#888888,G0612720,G0612720
Rectangle,G0610710,0,0,100,100,rack1,1200,700,left,#888888,G0610710,G0610710
Rectangle,G0610720,0,0,100,100,rack1,1300,700,left,#888888,G0610720,G0610720
Rectangle,G0608710,0,0,100,100,rack1,1400,700,left,#888888,G0608710,G0608710
Rectangle,G0608720,0,0,100,100,rack1,1500,700,left,#888888,G0608720,G0608720
Rectangle,G0606710,0,0,100,100,rack1,1600,700,left,#888888,G0606710,G0606710
Rectangle,G0606720,0,0,100,100,rack1,1700,700,left,#888888,G0606720,G0606720
Rectangle,G0604710,0,0,100,100,rack1,1800,700,left,#888888,G0604710,G0604710
Rectangle,G0604720,0,0,100,100,rack1,1900,700,left,#888888,G0604720,G0604720
Rectangle,G0602710,0,0,100,100,rack1,2000,700,left,#888888,G0602710,G0602710
Rectangle,G0602720,0,0,100,100,rack1,2100,700,left,#888888,G0602720,G0602720
