Type,ID,X,Y,Width,Height,ParentID,RelativeX,RelativeY,Align,Color,ShelfID,StoragePlaceID
Rectangle,G0619410,0,0,100,100,rack1,300,400,left,#888888,G0619410,G0619410
Rectangle,G0617420,0,0,100,100,rack1,400,400,left,#888888,G0617420,G0617420
Rectangle,G0617410,0,0,100,100,rack1,500,400,left,#888888,G0617410,G0617410
Rectangle,G0615420,0,0,100,100,rack1,600,400,left,#888888,G0615420,G0615420
Rectangle,G0615410,0,0,100,100,rack1,700,400,left,#888888,G0615410,G0615410
Rectangle,G0613420,0,0,100,100,rack1,800,400,left,#888888,G0613420,G0613420
Rectangle,G0613410,0,0,100,100,rack1,900,400,left,#888888,G0613410,G0613410
Rectangle,G0611420,0,0,100,100,rack1,1000,400,left,#888888,G0611420,G0611420
Rectangle,G0611410,0,0,100,100,rack1,1100,400,left,#888888,G0611410,G0611410
Rectangle,G0609420,0,0,100,100,rack1,1200,400,left,#888888,G0609420,G0609420
Rectangle,G0609410,0,0,100,100,rack1,1300,400,left,#888888,G0609410,G0609410
Rectangle,G0607420,0,0,100,100,rack1,1400,400,left,#888888,G0607420,G0607420
Rectangle,G0607410,0,0,100,100,rack1,1500,400,left,#888888,G0607410,G0607410
Rectangle,G0605420,0,0,100,100,rack1,1600,400,left,#888888,G0605420,G0605420
Rectangle,G0605410,0,0,100,100,rack1,1700,400,left,#888888,G0605410,G0605410
Rectangle,G0603420,0,0,100,100,rack1,1800,400,left,#888888,G0603420,G0603420
Rectangle,G0603410,0,0,100,100,rack1,1900,400,left,#888888,G0603410,G0603410
Rectangle,G0601420,0,0,100,100,rack1,2000,400,left,#888888,G0601420,G0601420
Rectangle,G0601410,0,0,100,100,rack1,2100,400,left,#888888,G0601410,G0601410
,,,,,,,,,,,,
Rectangle,G0621520,0,0,100,100,rack1,0,500,left,#888888,G0621520,G0621520
Rectangle,G0621510,0,0,100,100,rack1,100,500,left,#888888,G0621510,G0621510
Rectangle,G0619520,0,0,100,100,rack1,200,500,left,#888888,G0619520,G0619520
Rectangle,G0619510,0,0,100,100,rack1,300,500,left,#888888,G0619510,G0619510
Rectangle,G0617520,0,0,100,100,rack1,400,500,left,#888888,G0617520,G0617520
Rectangle,G0617510,0,0,100,100,rack1,500,500,left,#888888,G0617510,G0617510
Rectangle,G0615520,0,0,100,100,rack1,600,500,left,#888888,G0615520,G0615520
Rectangle,G0615510,0,0,100,100,rack1,700,500,left,#888888,G0615510,G0615510
Rectangle,G0613520,0,0,100,100,rack1,800,500,left,#888888,G0613520,G0613520
Rectangle,G0613510,0,0,100,100,rack1,900,500,left,#888888,G0613510,G0613510
Rectangle,G0611520,0,0,100,100,rack1,1000,500,left,#888888,G0611520,G0611520
Rectangle,G0611510,0,0,100,100,rack1,1100,500,left,#888888,G0611510,G0611510
Rectangle,G0609520,0,0,100,100,rack1,1200,500,left,#888888,G0609520,G0609520
Rectangle,G0609510,0,0,100,100,rack1,1300,500,left,#888888,G0609510,G0609510
Rectangle,G0607520,0,0,100,100,rack1,1400,500,left,#888888,G0607520,G0607520
Rectangle,G0607510,0,0,100,100,rack1,1500,500,left,#888888,G0607510,G0607510
Rectangle,G0605520,0,0,100,100,rack1,1600,500,left,#888888,G0605520,G0605520
Rectangle,G0605510,0,0,100,100,rack1,1700,500,left,#888888,G0605510,G0605510
Rectangle,G0603520,0,0,100,100,rack1,1800,500,left,#888888,G0603520,G0603520
Rectangle,G0603510,0,0,100,100,rack1,1900,500,left,#888888,G0603510,G0603510
Rectangle,G0601520,0,0,100,100,rack1,2000,500,left,#888888,G0601520,G0601520
Rectangle,G0601510,0,0,100,100,rack1,2100,500,left,#888888,G0601510,G0601510
,,,,,,,,,,,,
Rectangle,G0621620,0,0,100,100,rack1,0,600,left,#888888,G0621620,G0621620
Rectangle,G0621610,0,0,100,100,rack1,100,600,left,#888888,G0621610,G0621610
Rectangle,G0619620,0,0,100,100,rack1,200,600,left,#888888,G0619620,G0619620
Rectangle,G0619610,0,0,100,100,rack1,300,600,left,#888888,G0619610,G0619610
Rectangle,G0617620,0,0,100,100,rack1,400,600,left,#888888,G0617620,G0617620
Rectangle,G0617610,0,0,100,100,rack1,500,600,left,#888888,G0617610,G0617610
Rectangle,G0615620,0,0,100,100,rack1,600,600,left,#888888,G0615620,G0615620
Rectangle,G0615610,0,0,100,100,rack1,700,600,left,#888888,G0615610,G0615610
Rectangle,G0613620,0,0,100,100,rack1,800,600,left,#888888,G0613620,G0613620
Rectangle,G0613610,0,0,100,100,rack1,900,600,left,#888888,G0613610,G0613610
Rectangle,G0611620,0,0,100,100,rack1,1000,600,left,#888888,G0611620,G0611620
Rectangle,G0611610,0,0,100,100,rack1,1100,600,left,#888888,G0611610,G0611610
Rectangle,G0609620,0,0,100,100,rack1,1200,600,left,#888888,G0609620,G0609620
Rectangle,G0609610,0,0,100,100,rack1,1300,600,left,#888888,G0609610,G0609610
Rectangle,G0607620,0,0,100,100,rack1,1400,600,left,#888888,G0607620,G0607620
Rectangle,G0607610,0,0,100,100,rack1,1500,600,left,#888888,G0607610,G0607610
Rectangle,G0605620,0,0,100,100,rack1,1600,600,left,#888888,G0605620,G0605620
Rectangle,G0605610,0,0,100,100,rack1,1700,600,left,#888888,G0605610,G0605610
Rectangle,G0603620,0,0,100,100,rack1,1800,600,left,#888888,G0603620,G0603620
Rectangle,G0603610,0,0,100,100,rack1,1900,600,left,#888888,G0603610,G0603610
Rectangle,G0601620,0,0,100,100,rack1,2000,600,left,#888888,G0601620,G0601620
Rectangle,G0601610,0,0,100,100,rack1,2100,600,left,#888888,G0601610,G0601610
,,,,,,,,,,,,
Rectangle,G0621720,0,0,100,100,rack1,0,700,left,#888888,G0621720,G0621720
Rectangle,G0621710,0,0,100,100,rack1,100,700,left,#888888,G0621710,G0621710
Rectangle,G0619720,0,0,100,100,rack1,200,700,left,#888888,G0619720,G0619720
Rectangle,G0619710,0,0,100,100,rack1,300,700,left,#888888,G0619710,G0619710
Rectangle,G0617720,0,0,100,100,rack1,400,700,left,#888888,G0617720,G0617720
Rectangle,G0617710,0,0,100,100,rack1,500,700,left,#888888,G0617710,G0617710
Rectangle,G0615720,0,0,100,100,rack1,600,700,left,#888888,G0615720,G0615720
Rectangle,G0615710,0,0,100,100,rack1,700,700,left,#888888,G0615710,G0615710
Rectangle,G0613720,0,0,100,100,rack1,800,700,left,#888888,G0613720,G0613720
Rectangle,G0613710,0,0,100,100,rack1,900,700,left,#888888,G0613710,G0613710
Rectangle,G0611720,0,0,100,100,rack1,1000,700,left,#888888,G0611720,G0611720
Rectangle,G0611710,0,0,100,100,rack1,1100,700,left,#888888,G0611710,G0611710
Rectangle,G0609720,0,0,100,100,rack1,1200,700,left,#888888,G0609720,G0609720
Rectangle,G0609710,0,0,100,100,rack1,1300,700,left,#888888,G0609710,G0609710
Rectangle,G0607720,0,0,100,100,rack1,1400,700,left,#888888,G0607720,G0607720
Rectangle,G0607710,0,0,100,100,rack1,1500,700,left,#888888,G0607710,G0607710
Rectangle,G0605720,0,0,100,100,rack1,1600,700,left,#888888,G0605720,G0605720
Rectangle,G0605710,0,0,100,100,rack1,1700,700,left,#888888,G0605710,G0605710
Rectangle,G0603720,0,0,100,100,rack1,1800,700,left,#888888,G0603720,G0603720
Rectangle,G0603710,0,0,100,100,rack1,1900,700,left,#888888,G0603710,G0603710
Rectangle,G0601720,0,0,100,100,rack1,2000,700,left,#888888,G0601720,G0601720
Rectangle,G0601710,0,0,100,100,rack1,2100,700,left,#888888,G0601710,G0601710
